station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,nearby_distance,_ride_code_support,rental_uris
1,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801069,16.0,"GRAN VIA CORTS CATALANES, 760",08013,46,True,1000.0,True,
2,"C/ ROGER DE FLOR, 126",ELECTRICBIKESTATION,41.3954877,2.1771985,17.0,"C/ ROGER DE FLOR, 126",08013,29,True,1000.0,True,
3,"C/ NÀPOLS, 82",ELECTRICBIKESTATION,41.3941557,2.1813305,11.0,"C/ NÀPOLS, 82",08013,27,True,1000.0,True,
4,"C/ RIBES, 13",ELECTRICBIKESTATION,41.3933173,2.1812483,8.0,"C/ RIBES, 13",08013,21,True,1000.0,True,
5,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",ELECTRICBIKESTATION,41.3911035,2.1801763,7.0,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",08018,39,True,1000.0,True,
6,"PG. LLUIS COMPANYS, 18 (ARC TRIOMF)",ELECTRICBIKESTATION,41.3914292,2.1805685,10.0,"PG. LLUIS COMPANYS, 18  (ARC TRIOMF)",08018,39,True,1000.0,True,
7,"PG. PUJADES,  1 (JUTJATS)",ELECTRICBIKESTATION,41.388885,2.18329,6.0,"PG. PUJADES,  1 (JUTJATS)",08003,27,True,1000.0,True,
8,"PG. PUJADES, 2",ELECTRICBIKESTATION,41.389135,2.183489,6.0,"PG. PUJADES, 2",08003,27,True,1000.0,True,
9,"AV. MARQUÉS DE L'ARGENTERA,13",ELECTRICBIKESTATION,41.384546,2.184922,5.0,"AV. MARQUÉS DE L'ARGENTERA,13",08003,27,True,1000.0,True,
10,"C/ 60, NÚMERO 25",ELECTRICBIKESTATION,41.3467746,2.1436235,4.0,"C/ 60, NÚMERO 25",08040,43,True,1000.0,True,
11,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",ELECTRICBIKESTATION,41.3812425,2.1933482,7.0,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",08003,35,True,1000.0,True,
12,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",ELECTRICBIKESTATION,41.3833653,2.1946255,7.0,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",08003,25,True,1000.0,True,
13,"CARRER DE LA MARINA, 25-33",ELECTRICBIKESTATION,41.3881248,2.1951871,7.0,"CARRER DE LA MARINA, 25-33",08005,54,True,1000.0,True,
14,"AV. MARQUÉS DE  L'ARGENTERA, 15",ELECTRICBIKESTATION,41.384844,2.185085,5.0,"AV. MARQUÉS DE  L'ARGENTERA, 15",08003,27,True,1000.0,True,
15,"C/ DIPUTACIÓ, 272",ELECTRICBIKESTATION,41.39161170092347,2.1689031978751205,25.0,"C/ DIPUTACIÓ, 272",08009,27,True,1000.0,True,
17,"AV. MERIDIANA, 47 (D)",ELECTRICBIKESTATION,41.3982615,2.1866517,14.0,"AV. MERIDIANA, 47 (D)",08013,42,True,1000.0,True,
18,"C/ ROSSELLÓ, 453",ELECTRICBIKESTATION,41.4060589,2.1740472,38.0,"C/ ROSSELLÓ, 453",08025,27,True,1000.0,True,
19,"C/ ROSSELLÓ, 354",ELECTRICBIKESTATION,41.4031491,2.1707947,40.0,"C/ ROSSELLÓ, 354",08025,30,True,1000.0,True,
20,"C/ CARTAGENA, 308",ELECTRICBIKESTATION,41.410314,2.1757334,46.0,"C/ CARTAGENA, 308",08025,18,True,1000.0,True,
21,"C/ SANT ANTONI MARIA CLARET, 214",ELECTRICBIKESTATION,41.4108439,2.1740575,52.0,"C/ SANT ANTONI MARIA CLARET, 214",08025,21,True,1000.0,True,
22,"C/ SARDENYA, 292",ELECTRICBIKESTATION,41.4016969,2.175767,28.0,"C/ SARDENYA, 292",08013,19,True,1000.0,True,
23,"C/ BRUC, 45",ELECTRICBIKESTATION,41.3924661,2.1717397,21.0,"C/ BRUC, 45",08010,27,True,1000.0,True,
24,"C/ MARINA, 199",ELECTRICBIKESTATION,41.4005784,2.1788855,23.0,"C/ MARINA, 199",08013,40,True,1000.0,True,
25,"C/ BRUC, 102",ELECTRICBIKESTATION,41.3954041,2.1681961,29.0,"C/ BRUC, 102",08009,21,True,1000.0,True,
26,"C/ DOS DE MAIG, 230-232",ELECTRICBIKESTATION,41.4071692,2.1820722,22.0,"C/ DOS DE MAIG, 230-232",08013,18,True,1000.0,True,
27,"C/ PROVENÇA, 322",ELECTRICBIKESTATION,41.3967524,2.1646338,38.0,"C/ PROVENÇA, 322",08037,21,True,1000.0,True,
28,"C/ SARDENYA, 362",ELECTRICBIKESTATION,41.4055143,2.1706498,46.0,"C/ SARDENYA, 362",08025,23,True,1000.0,True,
29,"C/ PROVENÇA, 388-390",ELECTRICBIKESTATION,41.401061,2.169941,34.0,"C/ PROVENÇA, 388-390",08025,22,True,1000.0,True,
30,"C/ CASTILLEJOS, 184",ELECTRICBIKESTATION,41.4021805,2.1829894,13.0,"C/ CASTILLEJOS, 184",08013,29,True,1000.0,True,
31,PL. DEL MAR,ELECTRICBIKESTATION,41.3748001,2.1889045,4.0,PL. DEL MAR,08003,18,True,1000.0,True,
32,LA BARCELONETA (CN BARCELONETA),ELECTRICBIKESTATION,41.3736911,2.188928,4.0,LA BARCELONETA (CN BARCELONETA),08003,15,True,1000.0,True,
33,C/ PONTEVEDRA / JUDICI,ELECTRICBIKESTATION,41.37686,2.19067,4.0,C/ PONTEVEDRA / JUDICI,08003,21,True,1000.0,True,
34,"C/ SANT PERE MÉS ALT, 4",ELECTRICBIKESTATION,41.3871079,2.1753364,9.0,"C/ SANT PERE MÉS ALT, 4",08003,21,True,1000.0,True,
